2021-03-13 10:21:03,004 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 10:21:03,004 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:03,004 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:03,069 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:03,069 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:03,069 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:03,069 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:03,098 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:03,098 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:03,098 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:03,098 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
